Estado,Casos acumulados,Nuevos casos,Muertes nuevas,Muertes acumuladas
Nuevo Leon,399000,221,5,15320
Ciudad de Mexico,1730000,1137,3,43505
Estado de Mexico,698000,633,10,47825
Guanajuato,350000,113,3,15056
Jalisco,282000,185,1,19950
San Luis Potosi,236000,282,1,7592
Veracruz,223000,125,1,17000
Tabasco,213000,28,0,6127
Puebla,207000,86,1,16642
Sonora,194000,169,0,10278
Coahuila de Zaragoza,180000,46,0,8948
Queretaro,176000,53,1,6313
Tamaulipas,175000,83,0,8173
Sinaloa,174000,232,0,9895
Chihuahua,164000,86,2,10116
Baja California,163000,219,0,12410
Oaxaca,148000,105,2,6324
Yucatan,136000,71,1,6909
Baja California Sur,124000,46,0,2745
Estado de Hidalgo,118000,156,2,8533
Guerrero,116000,17,0,6836
